company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
Panasonic,4.2,46,40990,75990,12,139 cm (55 inch),2021,20 W,1 Year
LG,4.2,24,54890,72790,12,139 cm (55 inch),2025,20 W,1 Year
SONY,4.2,49,112839.75,201562.5,12,189 cm (75 inch),2025,20 W,1 YEAR
LG,4.2,33,55499,82890,12,139 cm (55 inch),2025,20 W,1 Year
LG,4.4,35,102599,159990,43,164 cm (65 inch),2024,20 W,1 Year
Panasonic,4.2,28,16520,22990,12,80 cm (32 inch),2023,20 W,1 Year
Samsung,3.8,32,71974,105900,1,138 cm (55 inch),2023,20 W,1 Year
SONY,4.5,36,81990,128990,40,9 cm (65 inch),2025,20 W,1 Year
Samsung,4.2,32,47940,70900,12,138 cm (55 inch),2025,20 W,2 Year
LG,4.6,38,92199,149990,10,139 cm (55 inch),2020,20 W,1 Year
EARTHONIC,4.2,33,13399,19999,12,80 cm (32 inch),2024,20 W,1 Year
IAIR,3.8,49,35599,70999,14,140 cm (55 inch),2024,24 W,Unknown
LG,3.8,36,112839.75,201562.5,1,189 cm (75 inch),2020,20 W,1 Year
SONY,4.6,33,56890,84990,1,126 cm (50 inch),2021,20 W,1 Year
iMEE,4.2,60,15999,39999,12,108 cm (43 inch),2023,20 W,Unknown
TCL,4.2,64,35990,99990,12,139 cm (55 inch),2025,35 W,Unknown
Blaupunkt,4.1,52,20999,44000,233.625,124 cm (49 inch),2020,30 W,1 Year
Samsung,4.2,7.5,112839.75,201562.5,12,214 cm (85 inch),2023,20 W,1 Year
VOIR,4.2,62,29990,79990,12,139 cm (55 inch),2024,24 W,1 Year
LG,4.2,15,81890,96790,12,165 cm (65 inch),2025,20 W,1 Year
Lloyd,4.2,37,16999,26990,12,80 cm (32 inch),2022,20 W,1 Year
Samsung,4.2,34,64600,98500,12,163 cm (65 inch),2024,20 W,2 Year
Panasonic,4.2,36,42910,67990,12,139 cm (55 inch),2023,20 W,1 Year
Lloyd,4.2,43,58999,104990,12,164 cm (65 inch),2022,20 W,1 Year
Samsung,3.8,46,92900,175000,0,189 cm (75 inch),2024,20 W,2 Year
Panasonic,4.2,28,15688,21990,12,80 cm (32 inch),2025,20 W,1 Year
BPL,4.2,16,26677,31990,12,109 cm (43 inch),2025,20 W,2 Year
Samsung,3.8,31,44701,64990,0,125 cm (50 inch),2024,20 W,2 Year
SONY,4.2,43,84990,149990,12,139 cm (55 inch),2022,20 W,1 Year
Samsung,4.2,35,85970,132600,12,189 cm (75 inch),2025,20 W,2 Year
ONIDA,4.2,30,13993,19990,12,80 cm (32 inch),2025,20 W,1 Year
Samsung,4.6,27,39998,54900,1,109 cm (43 inch),2023,20 W,1 Year
XElectron,4.2,50,8999,17999,12,80 cm (32 inch),2025,20 W,1Year
ONIDA,4.2,30,24493,34990,12,108 cm (43 inch),2025,20 W,1 Year
BPL,4.2,42,23962,42000,12,109 cm (43 inch),2023,32 W,1 Year
Lloyd,4.4,10,58999,66090,7,109 cm (43 inch),2021,20 W,1 Year
cenit,4.2,40,25999,43999,12,109 cm (43 inch),2021,20 W,Unknown
Acer,4.2,16,27433,32999,233.625,108 cm (43 inch),2023,30 W,1 Year
SONY,4.2,34,112839.75,201562.5,12,7 cm (98 inch),2025,40 W,1 Year
BPL,4.2,27,38890,53499,12,126 cm (50 inch),2023,32 W,1 Year
Dish,4.2,48,24965,48499,12,22 cm (43 inch),2023,20 W,1 Year
Haier,4.4,21,16558,21140,1,80 cm (32 inch),2023,10 W,Unknown
Swan,4.2,37,10010,15950,12,80 cm (32 inch),2023,20 W,Unknown
Coocaa,4.2,46,42999,79999,12,164 cm (65 inch),2025,30 W,1 Year
Panasonic,4.2,49,66119,129990,12,139 cm (55 inch),2023,20 W,1 Year
Samsung,4.6,27,57002,78900,0,138 cm (55 inch),2024,20 W,2 Year
LG,4.2,26,66000,89990,12,139 cm (55 inch),2024,20 W,1 Year
Haier,3.8,15,28577,34000,1,108 cm (43 inch),2023,20 W,1 Year
Coocaa,4.2,49,32999,64999,12,138 cm (55 inch),2025,30 W,1 Year
BPL,3.8,11,23864,27000,1,80 cm (32 inch),2021,16 W,Unknown
Haier,4.2,49,57937,114990,12,139 cm (55 inch),2023,24 W,2year
Plus,4.2,17,112839.75,201562.5,12,165 cm (65 inch),2025,24 W,1 Year
Hisense,4.2,49,55490,109990,12,164 cm (65 inch),2025,30 W,Unknown
Sansui,4.2,42,12990,22490,12,80 cm (32 inch),2025,20 W,1 YEAR
Sharp,3.8,7.5,24950,25990,0,81 cm (32 inch),2020,20 W,Unknown
Hisense,4.2,48,41490,79990,12,139 cm (55 inch),2025,49 W,Unknown
BPL,4.2,29,29764,42000,12,109 cm (43 inch),2023,20 W,Unknown
Panasonic,4.2,19,72877,90990,12,163 cm (65 inch),2025,20 W,1 Year
Elista,4.2,54,27499,59990,12,126 cm (50 inch),2025,20 W,Unknown
Metz,4.6,56,12990,29990,0,28 cm (32 inch),2025,20 W,2 Year
Weston,4.4,7.5,48990,49990,5,124 cm (49 inch),2020,40 W,1 Year
TRUSENSE,4.2,24,26474,35000,12,109 cm (43 inch),2023,24 W,Unknown
LG,4.2,52,79990,169990,12,1 cm (65 inch),2021,20 W,1 Year
Samsung,4.4,14,107799,125800,5,123 cm (49 inch),2020,20 W,1 Year
LG,4.2,59,110615,201562.5,12,190 cm (75 inch),2020,20 W,1 Year
Reintech,4.2,35,16999,26499,12,109 cm (43 inch),2020,20 W,Unknown
Reliance,4.2,55,20990,46990,12,109 cm (43 inch),2025,24 W,1 Year
Metz,3.8,63,39990,109900,1,138 cm (55 inch),2025,30 W,2 Year
Acer,4.3,64,6999,19990,233.625,80 cm (32 inch),2021,24 W,1 Year
RGL,3.8,52,8003,16990,7,80 cm (32 inch),2020,16 W,Unknown
TOSHIBA,4.3,55,44499,99999,233.625,165 cm (65 inch),2024,20 W,1 Year
Reliance,4.2,50,29990,59990,12,139 cm (55 inch),2025,24 W,1 Year
Sansui,4.2,55,71680,161910,12,190 cm (75 inch),2025,30 W,1 Year
EARTHONIC,4.2,54,12402,26999,12,82 cm (32 inch),2025,32 W,1 Year
TRUSENSE,4.2,29,31938,45000,12,126 cm (50 inch),2023,24 W,Unknown
EARTHONIC,4.2,53,33236,71999,12,139 cm (55 inch),2025,60 W,1 Year
KODAK,3.8,46,16900,58444.5,59,80 cm (32 inch),2020,20 W,1 Year
LG,4.5,42,74990,129990,233.625,164 cm (65 inch),2021,20 W,1 Year
Unknown,4.2,46,1260,58444.5,12,Unknown,2020,10 W,Unknown
LG,4.2,34,84990,129990,12,164 cm (65 inch),2022,20 W,1 Year
STARSHINE,4.2,31,21899,31999,12,108 cm (43 inch),2024,24 W,Unknown
LG,4.6,45,52095,94990,1,7 cm (55 inch),2021,20 W,1 Year
LG,4.2,41,49990,84990,12,7 cm (55 inch),2020,20 W,1 Year
LG,4.2,39,84990,139990,12,1 cm (65 inch),2021,20 W,1 Year
RGL,3.8,46,15990,29990,0,99 cm (39 inch),2020,20 W,Unknown
Metz,4.2,69,54990,179900,12,164 cm (65 inch),2025,30 W,2 Year
