company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
KODAK,4.3,43,15190,26999,7,108 cm (43 inch),2023,30 W,1 Year
TCL,4,55,26490,59990,20,126 cm (50 inch),2025,24 W,1 Year
PHILIPS,4,30,37999,54999,188,138 cm (55 inch),2025,50 W,1 Year
Vu,4,24,48990,64500,95,164 cm (65 inch),2025,24 W,1 Year
Haier,4.3,35,25990,39990,32,109 cm (43 inch),2025,20 W,1 Year
Vu,4,34,27699,42000,95,126 cm (50 inch),2025,24 W,1 Year
InnoQ,4,73,5990,22990,1,60 cm (24 inch),2024,30 W,1 Year
TCL,4.1,51,26599,54990,46,108 cm (43 inch),2025,30 W,Unknown
Reliance,3.8,50,14990,29999,2,108 cm (43 inch),2025,20 W,1 Year
KODAK,4.3,43,13499,23999,7,100 cm (40 inch),2024,30 W,1 Year
Acer,3.9,61,23999,62999,1,127 cm (50 inch),2024,36 W,1 Year
TCL,4.2,61,30990,79990,233.625,139 cm (55 inch),2024,35 W,Unknown
InnoQ,4,67,11490,34990,1,102 cm (40 inch),2024,30 W,1 Year
TCL,4.1,55,35990,80990,46,139 cm (55 inch),2025,35 W,Unknown
Acer,4,53,35999,77999,233.625,7 cm (55 inch),2024,80 W,1 Year
Acer,3.9,47,11999,22999,1,01 cm (32 inch),2024,30 W,1 Year
TOSHIBA,4,53,11999,25999,52,80 cm (32 inch),2025,30 W,Unknown
SONY,4.6,22,26990,34900,144,80 cm (32 inch),2024,20 W,1 Year
Hisense,4.2,46,28999,53999,233.625,126 cm (50 inch),2025,48 W,1 Year
MOTOROLA,4.4,53,34999,75499,105,140 cm (55 inch),2024,20 W,1 year
Coocaa,4.2,42,39999,69999,107,164 cm (65 inch),2025,30 W,1 Year
realme,4.4,51,26999,56199,233.625,126 cm (50 inch),2025,30 W,1 year
realme,4.4,55,38699,86599,233.625,165 cm (65 inch),2025,40 W,Unknown
TCL,4.1,60,50990,129990,46,164 cm (65 inch),2025,35 W,Unknown
Acer,3.9,63,13999,37999,1,3 cm (40 inch),2024,30 W,1 Year
Acer,3.9,63,28999,78999,233.625,7 cm (55 inch),2025,36 W,1 Year
TOSHIBA,4.1,52,21999,45999,233.625,108 cm (43 inch),2024,24 W,Unknown
Haier,4.2,40,45490,75990,48,139 cm (55 inch),2025,30 W,1 year
Panasonic,4.1,18,15490,18990,134,80 cm (32 inch),2025,20 W,1 year
KODAK,4.1,37,6299,9999,1,60 cm (24 inch),2024,20 W,1 Year
TCL,4.2,80,49999,201562.5,1,189 cm (75 inch),2024,24 W,Unknown
BESTON,3.8,56,9999,22999,178,80 cm (32 inch),2025,30 W,2 Year
TCL,4,67,64990,199990,233.625,189 cm (75 inch),2025,30 W,Unknown
MOTOROLA,4.3,36,16999,26699,233.625,102 cm (40 inch),2023,20 W,1 year
KODAK,4.3,42,18439,31999,1,108 cm (43 inch),2024,40 W,1 Year
KODAK,4.3,54,22999,49999,1,126 cm (50 inch),2022,40 W,1 Year
acerpure,4,60,10299,25990,1,80 cm (32 inch),2025,30 W,1 Year
TCL,4,58,46990,112490,233.625,164 cm (65 inch),2025,24 W,Unknown
Sansui,4.2,48,17967,34990,233.625,102 cm (40 inch),2023,20 W,1 Year
Haier,4.2,60,29999,75990,6,140 cm (55 inch),2023,24 W,1 Year
realme,4.2,48,21999,42399,222,109 cm (43 inch),2024,40 W,Unknown
realme,4.4,57,27699,65399,233.625,140 cm (55 inch),2025,40 W,Unknown
Foxsky,4.2,52,16499,34990,1,109 cm (43 inch),2024,30 W,1-Year
TCL,4,60,89990,201562.5,2,83 cm (65 inch),2025,20 W,Unknown
InnoQ,4,75,4990,19990,1,60 cm (24 inch),2024,30 W,1 Year
KODAK,4.3,55,37999,84999,1,164 cm (65 inch),2022,40 W,1 Year
ONIDA,4.2,42,11810,20490,127,80 cm (32 inch),2024,20 W,1 Year
Samsung,4.3,37,26990,43200,4,108 cm (43 inch),2024,20 W,2 Year
TCL,4.1,69,76999,201562.5,196,189 cm (75 inch),2025,35 W,Unknown
Blaupunkt,4.4,34,56999,86999,8,164 cm (65 inch),2025,108 W,1 Year
Acer,3.8,60,24999,63999,32,127 cm (50 inch),2025,36 W,1 Year
Samsung,4.3,28,60990,85600,4,163 cm (65 inch),2025,20 W,2 Year
TOSHIBA,4.2,54,11499,24999,1,80 cm (32 inch),2025,20 W,Unknown
skylive,4.1,55,11215,24999,0,6 cm (40 inch),2024,20 W,Unknown
TCL,4.2,71,34990,120990,1,139 cm (55 inch),2024,35 W,Unknown
Haier,4.5,38,35000,56990,6,108 cm (43 inch),2023,20 W,1 Year
Haier,4.3,57,11990,28390,19,80 cm (32 inch),2025,16 W,1 year
Infinix,3.9,32,36999,54999,10,165 cm (65 inch),2025,48 W,1 year
Hisense,4.1,53,49999,107999,17,5 cm (55 inch),2025,49 W,Unknown
Acer,3.9,56,18999,43999,1,108 cm (43 inch),2024,30 W,1 Year
LG,4.3,44,13990,24990,1,80 cm (32 inch),2020,10 W,1 Year
